REGION,STATE,status_3_m,status_1_y,status_3_y,WaitingTime
1,RI,71.76781002638523,72.14111922141119,71.37229152987524,200.87907869481765
1,MA,71.76781002638523,72.14111922141119,71.37229152987524,200.87907869481765
1,CT,71.76781002638523,72.14111922141119,71.37229152987524,200.87907869481765
1,ME,71.76781002638523,72.14111922141119,71.37229152987524,200.87907869481765
1,NH,71.76781002638523,72.14111922141119,71.37229152987524,200.87907869481765
1,VT,71.76781002638523,72.14111922141119,71.37229152987524,200.87907869481765
2,DE,69.6078431372549,70.40853882959146,70.70527974783295,197.42535945189616
2,DC,69.6078431372549,70.40853882959146,70.70527974783295,197.42535945189616
2,MD,69.6078431372549,70.40853882959146,70.70527974783295,197.42535945189616
2,NJ,69.6078431372549,70.40853882959146,70.70527974783295,197.42535945189616
2,PA,69.6078431372549,70.40853882959146,70.70527974783295,197.42535945189616
2,WV,69.6078431372549,70.40853882959146,70.70527974783295,197.42535945189616
3,FL,72.43436754176611,71.33040131940626,70.98765432098764,200.29799914857387
3,GA,72.43436754176611,71.33040131940626,70.98765432098764,200.29799914857387
3,AR,72.43436754176611,71.33040131940626,70.98765432098764,200.29799914857387
3,AL,72.43436754176611,71.33040131940626,70.98765432098764,200.29799914857387
3,MS,72.43436754176611,71.33040131940626,70.98765432098764,200.29799914857387
3,LA,72.43436754176611,71.33040131940626,70.98765432098764,200.29799914857387
4,TX,70.86527929901425,71.0891089108911,70.78500134879957,197.49947712418302
4,OK,70.86527929901425,71.0891089108911,70.78500134879957,197.49947712418302
5,CA,70.42660882140275,70.73976221928666,71.1660777385159,201.87955691493758
5,NM,70.42660882140275,70.73976221928666,71.1660777385159,201.87955691493758
5,NV,70.42660882140275,70.73976221928666,71.1660777385159,201.87955691493758
5,AZ,70.42660882140275,70.73976221928666,71.1660777385159,201.87955691493758
5,UT,70.42660882140275,70.73976221928666,71.1660777385159,201.87955691493758
6,OR,70.72368421052632,69.73478939157566,70.92320966350302,207.12036651395252
6,WA,70.72368421052632,69.73478939157566,70.92320966350302,207.12036651395252
6,ID,70.72368421052632,69.73478939157566,70.92320966350302,207.12036651395252
6,MT,70.72368421052632,69.73478939157566,70.92320966350302,207.12036651395252
6,HI,70.72368421052632,69.73478939157566,70.92320966350302,207.12036651395252
6,AK,70.72368421052632,69.73478939157566,70.92320966350302,207.12036651395252
7,MN,72.22222222222223,72.21052631578948,72.60917634051962,202.74845901639344
7,IL,72.22222222222223,72.21052631578948,72.60917634051962,202.74845901639344
7,WI,72.22222222222223,72.21052631578948,72.60917634051962,202.74845901639344
7,SD,72.22222222222223,72.21052631578948,72.60917634051962,202.74845901639344
7,ND,72.22222222222223,72.21052631578948,72.60917634051962,202.74845901639344
8,CO,72.04610951008645,70.16129032258064,71.46358543417367,206.81313645621182
8,NE,72.04610951008645,70.16129032258064,71.46358543417367,206.81313645621182
8,MO,72.04610951008645,70.16129032258064,71.46358543417367,206.81313645621182
8,IA,72.04610951008645,70.16129032258064,71.46358543417367,206.81313645621182
8,KS,72.04610951008645,70.16129032258064,71.46358543417367,206.81313645621182
8,WY,72.04610951008645,70.16129032258064,71.46358543417367,206.81313645621182
9,NY,72.47706422018348,69.1467576791809,68.6778398510242,193.42923599928432
10,IN,70.27896995708154,71.47192716236722,71.36975020587428,197.44163751781318
10,OH,70.27896995708154,71.47192716236722,71.36975020587428,197.44163751781318
10,MI,70.27896995708154,71.47192716236722,71.36975020587428,197.44163751781318
11,NC,70.65101387406617,70.93690248565966,70.37323037323037,203.04995650553002
11,KY,70.65101387406617,70.93690248565966,70.37323037323037,203.04995650553002
11,TN,70.65101387406617,70.93690248565966,70.37323037323037,203.04995650553002
11,SC,70.65101387406617,70.93690248565966,70.37323037323037,203.04995650553002
11,VA,70.65101387406617,70.93690248565966,70.37323037323037,203.04995650553002
